,x,y,u,cell_id,CoV,infected_DM_3,IoD,infected_DM_0,population,sd,var,infected_DM_2,infected_DM_1,level of impact,level of uncertainity,distance in miles
436,-2.2849687,53.4006338,11.25,2674822763020855000,0.449599730533141,7,2.27407407407407,7,54,5.05799696849784,25.5833333333333,17,14,highest contaminated zone,very unlikely,0.34991730775561797
437,-2.2834648,53.4006373,0.5,6801987873658482000,1.15470053837925,0,0.666666666666667,0,52,0.577350269189626,0.333333333333333,1,1,moderately impacted area,moderate uncertainity,0.2690849217788367
438,-2.2834648,53.4006373,8.75,6801987873658482000,0.4,5,1.4,10,52,3.5,12.25,13,7,highest contaminated zone,highest uncertainity,0.2690849217788367
439,-2.2834648,53.4006373,15.0,6801987873658482000,0.121716123890037,17,0.222222222222222,13,52,1.82574185835055,3.33333333333333,14,16,highest contaminated zone,least uncertainity,0.2690849217788367
440,-2.2819608,53.4006409,0.75,3110230472439719000,0.666666666666667,1,0.333333333333333,0,73,0.5,0.25,1,1,higher impacted area,least uncertainity,0.2096711113771025
441,-2.2819608,53.4006409,18.75,3110230472439719000,0.08,18,0.12,18,73,1.5,2.25,21,18,highest contaminated zone,least uncertainity,0.2096711113771025
442,-2.2819608,53.4006409,26.25,3110230472439719000,0.104906105662592,29,0.288888888888889,28,73,2.75378527364305,7.58333333333333,23,25,highest contaminated zone,least uncertainity,0.2096711113771025
443,-2.2804568,53.4006444,1.75,-7307347436380393000,1.26706044720477,5,2.80952380952381,0,77,2.21735578260835,4.91666666666667,1,1,higher impacted area,very unlikely,0.19265851601644873
444,-2.2804568,53.4006444,25.0,-7307347436380393000,0.259229627936314,31,1.68,25,77,6.48074069840786,42.0,16,28,highest contaminated zone,highest uncertainity,0.19265851601644873
445,-2.2804568,53.4006444,30.5,-7307347436380393000,0.101938568886217,33,0.316939890710382,31,77,3.1091263510296,9.66666666666667,32,26,highest contaminated zone,least uncertainity,0.19265851601644873
446,-2.2789528,53.400648,0.5,-1713120401885513000,1.15470053837925,0,0.666666666666667,0,52,0.577350269189626,0.333333333333333,1,1,moderately impacted area,moderate uncertainity,0.22774412225396803
447,-2.2789528,53.400648,1.0,-1713120401885513000,0.816496580927726,2,0.666666666666667,0,52,0.816496580927726,0.666666666666667,1,1,higher impacted area,moderate uncertainity,0.22774412225396803
448,-2.2789528,53.400648,12.25,-1713120401885513000,0.122448979591837,11,0.183673469387755,13,52,1.5,2.25,14,11,highest contaminated zone,least uncertainity,0.22774412225396803
449,-2.2789528,53.400648,15.0,-1713120401885513000,0.23094010767585,10,0.8,18,52,3.46410161513775,12.0,16,16,highest contaminated zone,moderate uncertainity,0.22774412225396803
450,-2.2774488,53.4006515,0.25,3762509505186382000,2.0,0,1.0,0,13,0.5,0.25,0,1,slightly impacted area,highest uncertainity,0.29701432443087494
451,-2.2774488,53.4006515,3.25,3762509505186382000,0.461538461538462,1,0.692307692307692,4,13,1.5,2.25,4,4,highest contaminated zone,moderate uncertainity,0.29701432443087494
452,-2.2774488,53.4006515,3.5,3762509505186382000,0.494871659305394,3,0.857142857142857,2,13,1.73205080756888,3.0,6,3,highest contaminated zone,moderate uncertainity,0.29701432443087494
453,-2.2759449,53.400655,0.25,-1838526746947749000,2.0,0,1.0,0,24,0.5,0.25,1,0,slightly impacted area,highest uncertainity,0.38230936607907273
454,-2.2759449,53.400655,1.25,-1838526746947749000,0.765941686205071,1,0.733333333333333,2,24,0.957427107756338,0.916666666666667,2,0,higher impacted area,moderate uncertainity,0.38230936607907273
455,-2.2759449,53.400655,4.5,-1838526746947749000,0.286887655274623,5,0.37037037037037,4,24,1.29099444873581,1.66666666666667,6,3,highest contaminated zone,least uncertainity,0.38230936607907273
456,-2.2744409,53.4006584,0.25,7051460004227450000,2.0,0,1.0,1,24,0.5,0.25,0,0,slightly impacted area,highest uncertainity,0.4750858488648275
457,-2.2744409,53.4006584,1.75,7051460004227450000,0.857142857142857,1,1.28571428571429,0,24,1.5,2.25,3,3,higher impacted area,highest uncertainity,0.4750858488648275
458,-2.2744409,53.4006584,3.5,7051460004227450000,0.368855556781659,4,0.476190476190476,5,24,1.29099444873581,1.66666666666667,2,3,highest contaminated zone,least uncertainity,0.4750858488648275
